Format Version,1.21,Take Name,point5,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-10 02.04.23.220 PM,Total Frames in Take,4982,Total Exported Frames,4982,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1
,,"B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2"
,,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,X,Y,Z,
205,1.708333,-140.972198,69.119827,130.933533,-1.007707,0.462346,-0.519006,0.000287
206,1.716667,-140.992844,69.126732,130.940414,-1.007714,0.462328,-0.518994,0.000298
207,1.725000,-140.982590,69.103798,130.918045,-1.007715,0.462330,-0.518996,0.000292
208,1.733333,-140.958664,69.117889,130.895660,-1.007711,0.462320,-0.519006,0.000290
209,1.741667,-140.989334,69.114578,130.940048,-1.007716,0.462329,-0.519006,0.000293
210,1.750000,-140.973022,69.112755,130.917145,-1.007706,0.462335,-0.519001,0.000291
211,1.758333,-140.953766,69.117188,130.907120,-1.007687,0.462348,-0.519001,0.000326
212,1.766667,-140.980408,69.120667,130.925888,-1.007679,0.462342,-0.518998,0.000291
213,1.775000,-140.957932,69.119781,130.898438,-1.007676,0.462343,-0.518980,0.000308
214,1.783333,-140.954468,69.125465,130.908310,-1.007699,0.462356,-0.518989,0.000307
215,1.791667,-140.990936,69.131592,130.920883,-1.007699,0.462335,-0.518994,0.000301
216,1.800000,-141.004578,69.117966,130.960693,-1.007718,0.462327,-0.518987,0.000277
217,1.808333,-140.969131,69.115067,130.913559,-1.007720,0.462328,-0.518998,0.000279
218,1.816667,-140.967499,69.118248,130.914871,-1.007724,0.462320,-0.519006,0.000286
219,1.825000,-140.978348,69.111893,130.928574,-1.007723,0.462337,-0.519010,0.000291
220,1.833333,-140.986847,69.118988,130.937775,-1.007709,0.462343,-0.519005,0.000291
221,1.841667,-140.959808,69.104187,130.894104,-1.007696,0.462355,-0.519007,0.000310
222,1.850000,-140.986267,69.118706,130.935516,-1.007679,0.462350,-0.519019,0.000299
223,1.858333,-140.986298,69.121407,130.935349,-1.007695,0.462352,-0.519006,0.000312
224,1.866667,-140.960938,69.108459,130.895386,-1.007685,0.462342,-0.518996,0.000307
225,1.875000,-140.966934,69.119377,130.905533,-1.007687,0.462313,-0.518996,0.000294
226,1.883333,-141.010620,69.131149,130.949020,-1.007696,0.462301,-0.518980,0.000284
227,1.891667,-140.962051,69.113152,130.915085,-1.007724,0.462313,-0.518979,0.000299
228,1.900000,-140.991348,69.132645,130.939178,-1.007727,0.462311,-0.518983,0.000273
229,1.908333,-140.999741,69.135216,130.944000,-1.007716,0.462320,-0.518991,0.000283
230,1.916667,-140.957672,69.119514,130.911438,-1.007721,0.462343,-0.519000,0.000302
231,1.925000,-140.979019,69.112633,130.913971,-1.007708,0.462365,-0.519005,0.000297
232,1.933333,-140.965454,69.116867,130.937012,-1.007705,0.462375,-0.519006,0.000304
233,1.941667,-140.993912,69.123550,130.948975,-1.007692,0.462366,-0.519004,0.000296
234,1.950000,-140.967804,69.118462,130.914398,-1.007702,0.462350,-0.519010,0.000316
235,1.958333,-140.941574,69.098549,130.881241,-1.007713,0.462331,-0.519003,0.000311
236,1.966667,-141.004211,69.086983,130.983948,-1.007677,0.462287,-0.518963,0.000347
237,1.975000,-140.962036,69.116348,130.899155,-1.007729,0.462315,-0.519012,0.000291
238,1.983333,-140.947464,69.109528,130.878906,-1.007735,0.462313,-0.519006,0.000279
239,1.991667,-140.958481,69.112389,130.896362,-1.007724,0.462326,-0.519000,0.000284
240,2.000000,-140.953491,69.125267,130.903824,-1.007709,0.462333,-0.518985,0.000299
241,2.008333,-140.967545,69.115761,130.910950,-1.007703,0.462345,-0.518986,0.000302
242,2.016667,-140.963486,69.126709,130.910095,-1.007703,0.462360,-0.518994,0.000293
243,2.025000,-140.970642,69.112900,130.911331,-1.007712,0.462394,-0.519010,0.000304
244,2.033333,-140.969666,69.134964,130.936615,-1.007705,0.462380,-0.518997,0.000311
245,2.041667,-140.945816,69.102386,130.904785,-1.007709,0.462347,-0.519005,0.000299
246,2.050000,-140.947937,69.116486,130.905563,-1.007737,0.462332,-0.519005,0.000301
247,2.058333,-140.945114,69.102615,130.891693,-1.007735,0.462321,-0.519013,0.000291
248,2.066667,-140.946350,69.106575,130.901001,-1.007736,0.462307,-0.519004,0.000284
249,2.075000,-140.969543,69.114754,130.912170,-1.007725,0.462300,-0.518996,0.000289
250,2.083333,-140.960175,69.114761,130.917038,-1.007717,0.462340,-0.519005,0.000279
251,2.091667,-140.981827,69.112602,130.922455,-1.007708,0.462357,-0.519003,0.000293
252,2.100000,-140.982712,69.116653,130.942017,-1.007703,0.462364,-0.519021,0.000292
253,2.108333,-140.955597,69.112709,130.906586,-1.007707,0.462376,-0.519011,0.000289
254,2.116667,-141.013351,69.120399,130.968521,-1.007701,0.462377,-0.519021,0.000284
255,2.125000,-140.941895,69.113335,130.895935,-1.007710,0.462353,-0.519002,0.000290
256,2.133333,-140.927139,69.114182,130.873444,-1.007725,0.462348,-0.518990,0.000300
257,2.141667,-140.966766,69.095177,130.916870,-1.007731,0.462327,-0.519009,0.000293
258,2.150000,-140.954834,69.099464,130.913605,-1.007731,0.462303,-0.519019,0.000284
259,2.158333,-140.948517,69.097710,130.910614,-1.007734,0.462344,-0.519022,0.000276
260,2.166667,-140.955307,69.091064,130.914490,-1.007729,0.462346,-0.519028,0.000299
261,2.175000,-140.955856,69.111580,130.915817,-1.007719,0.462360,-0.519016,0.000296
262,2.183333,-140.960266,69.099144,130.917099,-1.007711,0.462370,-0.519018,0.000295
263,2.191667,-140.995697,69.077225,130.976913,-1.007666,0.462343,-0.518972,0.000346
264,2.200000,-140.967285,69.108170,130.924042,-1.007723,0.462367,-0.519011,0.000288
265,2.208333,-140.963043,69.115730,130.903366,-1.007707,0.462342,-0.519000,0.000291
266,2.216667,-141.000092,69.128036,130.965622,-1.007709,0.462333,-0.519007,0.000286
267,2.225000,-140.948914,69.125496,130.893982,-1.007702,0.462315,-0.519002,0.000287
268,2.233333,-140.971588,69.123055,130.953796,-1.007726,0.462320,-0.519001,0.000307
269,2.241667,-140.995972,69.082542,130.994171,-1.007661,0.462277,-0.518953,0.000333
270,2.250000,-140.955551,69.115425,130.904053,-1.007698,0.462348,-0.518993,0.000304
271,2.258333,-140.960709,69.119453,130.919556,-1.007722,0.462342,-0.519003,0.000310
272,2.266667,-140.988281,69.116547,130.945938,-1.007728,0.462344,-0.519012,0.000325
273,2.275000,-140.971878,69.117050,130.931610,-1.007687,0.462342,-0.519025,0.000310
274,2.283333,-140.970230,69.122742,130.919449,-1.007694,0.462350,-0.519025,0.000306
275,2.291667,-140.944885,69.104851,130.900543,-1.007733,0.462349,-0.519003,0.000292
276,2.300000,-140.957123,69.120399,130.925446,-1.007723,0.462330,-0.518993,0.000312
277,2.308333,-140.967209,69.132790,130.922073,-1.007696,0.462310,-0.518988,0.000278
278,2.316667,-140.979630,69.122070,130.920929,-1.007726,0.462326,-0.519011,0.000288
