Format Version,1.21,Take Name,black4Take 2024-04-10 04.05.45 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-10 04.05.45.715 PM,Total Frames in Take,3092,Total Exported Frames,3092,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1
,,"B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2"
,,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,X,Y,Z,
82,0.683333,-172.523392,7.159648,175.313980,-1.512484,0.454148,1.298336,0.000405
83,0.691667,-172.513657,7.168863,175.305817,-1.512484,0.454140,1.298347,0.000413
84,0.700000,-172.505753,7.152128,175.326630,-1.512477,0.454121,1.298360,0.000418
85,0.708333,-172.536392,7.163209,175.325287,-1.512458,0.454110,1.298352,0.000409
86,0.716667,-172.534958,7.143298,175.431808,-1.512485,0.454167,1.298374,0.000419
87,0.725000,-172.523804,7.165150,175.320221,-1.512462,0.454132,1.298356,0.000395
88,0.733333,-172.531723,7.135564,175.428467,-1.512500,0.454211,1.298377,0.000427
89,0.741667,-172.521927,7.150093,175.313248,-1.512480,0.454140,1.298328,0.000408
90,0.750000,-172.473969,7.091911,175.381500,-1.512459,0.454062,1.298241,0.000406
91,0.758333,-172.533005,7.169288,175.319641,-1.512485,0.454150,1.298342,0.000390
92,0.766667,-172.526184,7.163767,175.290192,-1.512503,0.454157,1.298354,0.000411
93,0.775000,-172.518127,7.161599,175.302948,-1.512498,0.454152,1.298348,0.000397
94,0.783333,-172.517807,7.143950,175.311401,-1.512489,0.454150,1.298350,0.000390
95,0.791667,-172.521011,7.156974,175.323853,-1.512485,0.454131,1.298347,0.000395
96,0.800000,-172.511993,7.153057,175.323059,-1.512478,0.454106,1.298343,0.000403
