Format Version,1.21,Take Name,1blackTake 2024-04-10 03.24.49 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-10 03.24.49.530 PM,Total Frames in Take,2166,Total Exported Frames,2166,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1
,,"B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2"
,,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,X,Y,Z,
62,0.516667,-8.214300,-6.017201,-5.606091,1.296067,0.460068,-1.216709,0.000227
63,0.525000,-8.210286,-6.017659,-5.587774,1.296057,0.460065,-1.216695,0.000239
64,0.533333,-8.217522,-6.022831,-5.605027,1.296054,0.460065,-1.216699,0.000235
65,0.541667,-8.218319,-6.017915,-5.592346,1.296046,0.460060,-1.216694,0.000237
66,0.550000,-8.225760,-6.009870,-5.592767,1.296056,0.460056,-1.216685,0.000241
67,0.558333,-8.218770,-6.024601,-5.604194,1.296059,0.460078,-1.216690,0.000236
68,0.566667,-8.224791,-6.019540,-5.588566,1.296058,0.460057,-1.216695,0.000230
69,0.575000,-8.216411,-6.023651,-5.603423,1.296063,0.460052,-1.216691,0.000239
70,0.583333,-8.234776,-6.018929,-5.611602,1.296074,0.460054,-1.216699,0.000238
71,0.591667,-8.229016,-6.025686,-5.600600,1.296074,0.460043,-1.216695,0.000239
72,0.600000,-8.219669,-6.018105,-5.593394,1.296076,0.460053,-1.216699,0.000231
73,0.608333,-8.230724,-6.017765,-5.603062,1.296074,0.460051,-1.216695,0.000230
74,0.616667,-8.231116,-6.008833,-5.606769,1.296071,0.460048,-1.216688,0.000242
75,0.625000,-8.226216,-6.013094,-5.599989,1.296075,0.460056,-1.216696,0.000229
76,0.633333,-8.227247,-6.023604,-5.595610,1.296064,0.460047,-1.216689,0.000233
77,0.641667,-8.226818,-6.020385,-5.593799,1.296066,0.460045,-1.216688,0.000241
78,0.650000,-8.230394,-6.021995,-5.601103,1.296071,0.460051,-1.216686,0.000231
79,0.658333,-8.219908,-6.026931,-5.608260,1.296058,0.460049,-1.216706,0.000240
80,0.666667,-8.209152,-6.011106,-5.599930,1.296053,0.460064,-1.216687,0.000234
81,0.675000,-8.216406,-6.017930,-5.599597,1.296068,0.460053,-1.216694,0.000243
82,0.683333,-8.230513,-6.011843,-5.602527,1.296072,0.460053,-1.216700,0.000237
83,0.691667,-8.229328,-6.022293,-5.611510,1.296078,0.460052,-1.216705,0.000235
84,0.700000,-8.227211,-6.023725,-5.600902,1.296071,0.460056,-1.216706,0.000240
85,0.708333,-8.227920,-6.021136,-5.605354,1.296077,0.460051,-1.216705,0.000249
86,0.716667,-8.220722,-6.018212,-5.602779,1.296075,0.460047,-1.216705,0.000234
87,0.725000,-8.212255,-6.020232,-5.600998,1.296061,0.460043,-1.216704,0.000228
88,0.733333,-8.220117,-6.022268,-5.593637,1.296073,0.460039,-1.216707,0.000237
89,0.741667,-8.213011,-6.022700,-5.601319,1.296080,0.460034,-1.216690,0.000229
90,0.750000,-8.218580,-6.019611,-5.601160,1.296070,0.460045,-1.216703,0.000234
91,0.758333,-8.219827,-6.023579,-5.599399,1.296074,0.460042,-1.216708,0.000240
92,0.766667,-8.223310,-6.015168,-5.605691,1.296071,0.460048,-1.216715,0.000238
93,0.775000,-8.222589,-6.014210,-5.601398,1.296079,0.460045,-1.216712,0.000241
94,0.783333,-8.219294,-6.016283,-5.593303,1.296074,0.460047,-1.216703,0.000232
95,0.791667,-8.211440,-6.026731,-5.591590,1.296078,0.460045,-1.216693,0.000235
96,0.800000,-8.209997,-6.027996,-5.580681,1.296069,0.460060,-1.216711,0.000241
97,0.808333,-8.228619,-6.023019,-5.597046,1.296072,0.460065,-1.216727,0.000230
98,0.816667,-8.233959,-6.021020,-5.596737,1.296084,0.460072,-1.216720,0.000234
99,0.825000,-8.209490,-6.025022,-5.598517,1.296075,0.460054,-1.216736,0.000236
100,0.833333,-8.227916,-6.023244,-5.611587,1.296063,0.460051,-1.216720,0.000242
101,0.841667,-8.224314,-6.016191,-5.604561,1.296080,0.460018,-1.216706,0.000236
102,0.850000,-8.214383,-6.010762,-5.600255,1.296084,0.460021,-1.216706,0.000243
103,0.858333,-8.225426,-6.025047,-5.595957,1.296082,0.460022,-1.216707,0.000234
